,timestamp,camera_Rotation_X,camera_Rotation_Y,camera_Rotation_Z,camera_Rotation_W,camera_Position_X,camera_Position_Y,camera_Position_Z,converted_op_timestamp,synced_op_time_delta,Frame
111,35.616667,0.036918,0.664956,-0.022137,-0.745641,0.336923,0.583040,-0.695977,2022-06-06 15:20:14.686667,1.8632569999999973,164
117,35.716667,0.025513,0.656920,-0.018473,-0.753302,0.337166,0.610296,-0.694682,2022-06-06 15:20:14.786667,1.9632569999999987,165
124,35.833333,0.030784,0.648991,-0.018175,-0.759955,0.336195,0.645009,-0.693395,2022-06-06 15:20:14.903333,2.079923000000001,166
130,35.933333,0.037532,0.640998,-0.011979,-0.766531,0.334869,0.674475,-0.692063,2022-06-06 15:20:15.003333,2.179922999999995,167
137,36.050000,0.037160,0.627528,-0.014248,-0.777576,0.334707,0.707968,-0.692772,2022-06-06 15:20:15.120000,2.296589999999995,168
144,36.166667,0.038925,0.619588,-0.015617,-0.783806,0.334771,0.736159,-0.697014,2022-06-06 15:20:15.236667,2.4132569999999944,169
159,36.416667,0.033896,0.609857,-0.010457,-0.791718,0.333947,0.773582,-0.711152,2022-06-06 15:20:15.486667,2.6632569999999944,170
166,36.533333,0.033778,0.603400,-0.010020,-0.796660,0.334894,0.786968,-0.714034,2022-06-06 15:20:15.603333,2.7799229999999966,171
174,36.666667,0.019373,0.586967,-0.000049,-0.809379,0.334625,0.801263,-0.712878,2022-06-06 15:20:15.736667,2.9132569999999944,172
180,36.766667,0.019125,0.576330,0.002663,-0.816989,0.333681,0.811198,-0.709760,2022-06-06 15:20:15.836667,3.013256999999996,173
188,36.900000,0.022777,0.562663,-0.000315,-0.826372,0.332562,0.818228,-0.703765,2022-06-06 15:20:15.970000,3.1465899999999962,174
194,37.000000,0.011903,0.533145,-0.012417,-0.845849,0.333177,0.817875,-0.697181,2022-06-06 15:20:16.070000,3.2465899999999976,175
202,37.133333,-0.028730,0.484825,-0.022268,-0.873856,0.336333,0.814161,-0.683678,2022-06-06 15:20:16.203333,3.379922999999998,176
209,37.250000,-0.055990,0.445415,-0.041251,-0.892619,0.337827,0.816058,-0.671156,2022-06-06 15:20:16.320000,3.4965899999999976,177
215,37.350000,-0.091834,0.413266,-0.047880,-0.904702,0.337090,0.818585,-0.662265,2022-06-06 15:20:16.420000,3.596589999999999,178
222,37.466667,-0.121792,0.380901,-0.043685,-0.915518,0.334891,0.824376,-0.653440,2022-06-06 15:20:16.536667,3.7132569999999987,179
228,37.566667,-0.131427,0.364576,-0.043603,-0.920820,0.332478,0.829457,-0.650147,2022-06-06 15:20:16.636667,3.813257,180
235,37.683333,-0.140253,0.348306,-0.045190,-0.925727,0.330804,0.834838,-0.647767,2022-06-06 15:20:16.753333,3.929922999999995,181
241,37.783333,-0.145899,0.337414,-0.047758,-0.928754,0.329380,0.839269,-0.646717,2022-06-06 15:20:16.853333,4.029922999999997,182
248,37.900000,-0.152789,0.320514,-0.046222,-0.933697,0.328941,0.843008,-0.647197,2022-06-06 15:20:16.970000,4.146589999999996,183
255,38.016667,-0.154523,0.311085,-0.048600,-0.936476,0.329762,0.845224,-0.646363,2022-06-06 15:20:17.086667,4.263256999999996,184
261,38.116667,-0.153510,0.300451,-0.049785,-0.940045,0.331510,0.846359,-0.645536,2022-06-06 15:20:17.186667,4.363256999999997,185
268,38.233333,-0.156606,0.288100,-0.046876,-0.943544,0.333220,0.844635,-0.645710,2022-06-06 15:20:17.303333,4.479922999999999,186
274,38.333333,-0.156735,0.294089,-0.053425,-0.941324,0.332761,0.843840,-0.643268,2022-06-06 15:20:17.403333,4.579923000000001,187
281,38.450000,-0.157261,0.281959,-0.049986,-0.945129,0.333331,0.842073,-0.639649,2022-06-06 15:20:17.520000,4.6965900000000005,188
288,38.566667,-0.157612,0.285818,-0.051182,-0.943847,0.331862,0.839876,-0.637929,2022-06-06 15:20:17.636667,4.813257,189
295,38.683333,-0.160139,0.284838,-0.051457,-0.943703,0.332382,0.838287,-0.639035,2022-06-06 15:20:17.753333,4.929922999999995,190
302,38.800000,-0.159250,0.283574,-0.057841,-0.943864,0.333550,0.837415,-0.640464,2022-06-06 15:20:17.870000,5.046589999999995,191
309,38.916667,-0.165014,0.284590,-0.054825,-0.942748,0.334543,0.834044,-0.641564,2022-06-06 15:20:17.986667,5.163256999999994,192
316,39.033333,-0.163875,0.290441,-0.057695,-0.940989,0.334516,0.833298,-0.642098,2022-06-06 15:20:18.103333,5.279922999999997,193
322,39.133333,-0.163813,0.294407,-0.055461,-0.939901,0.334342,0.832726,-0.641572,2022-06-06 15:20:18.203333,5.379922999999998,194
329,39.250000,-0.164311,0.296195,-0.055329,-0.939260,0.334991,0.832929,-0.640136,2022-06-06 15:20:18.320000,5.496589999999998,195
335,39.350000,-0.166509,0.294964,-0.054824,-0.939290,0.336219,0.833207,-0.638983,2022-06-06 15:20:18.420000,5.596589999999999,196
343,39.483333,-0.167534,0.290206,-0.051158,-0.940795,0.337873,0.833467,-0.636571,2022-06-06 15:20:18.553333,5.729922999999999,197
349,39.583333,-0.167387,0.288696,-0.049298,-0.941385,0.339299,0.833863,-0.633674,2022-06-06 15:20:18.653333,5.829923000000001,198
356,39.700000,-0.169580,0.286343,-0.050811,-0.941631,0.341177,0.834282,-0.631492,2022-06-06 15:20:18.770000,5.9465900000000005,199
363,39.816667,-0.170845,0.284929,-0.051714,-0.941782,0.342449,0.834246,-0.630423,2022-06-06 15:20:18.886667,6.063257,200
370,39.933333,-0.167495,0.280047,-0.041639,-0.944344,0.343654,0.833191,-0.630597,2022-06-06 15:20:19.003333,6.179922999999995,201
377,40.050000,-0.172277,0.283664,-0.045231,-0.942237,0.343141,0.832741,-0.630232,2022-06-06 15:20:19.120000,6.296589999999995,202
383,40.150000,-0.173449,0.281332,-0.045922,-0.942687,0.343493,0.833183,-0.630628,2022-06-06 15:20:19.220000,6.396589999999996,203
390,40.266667,-0.176425,0.275875,-0.044376,-0.943821,0.345506,0.834279,-0.631139,2022-06-06 15:20:19.336667,6.513256999999996,204
396,40.366667,-0.176831,0.283207,-0.043779,-0.941598,0.345220,0.836502,-0.630230,2022-06-06 15:20:19.436667,6.613256999999997,205
403,40.483333,-0.184137,0.292947,-0.048838,-0.936958,0.344445,0.841861,-0.631511,2022-06-06 15:20:19.553333,6.729922999999999,206
410,40.600000,-0.189240,0.292495,-0.054539,-0.935767,0.340567,0.845881,-0.634423,2022-06-06 15:20:19.670000,6.846589999999999,207
417,40.716667,-0.192581,0.299114,-0.058763,-0.932733,0.331812,0.852177,-0.637952,2022-06-06 15:20:19.786667,6.963256999999999,208
424,40.833333,-0.194373,0.292176,-0.055561,-0.934754,0.320679,0.857071,-0.639232,2022-06-06 15:20:19.903333,7.079923000000001,209
431,40.950000,-0.205094,0.270029,-0.056557,-0.939054,0.308054,0.860860,-0.640623,2022-06-06 15:20:20.020000,7.1965900000000005,210
438,41.066667,-0.218242,0.244670,-0.031662,-0.944195,0.292455,0.863467,-0.641233,2022-06-06 15:20:20.136667,7.313257,211
444,41.166667,-0.220284,0.235654,-0.032958,-0.945968,0.277862,0.865909,-0.639941,2022-06-06 15:20:20.236667,7.413256999999994,212
451,41.283333,-0.227518,0.221159,-0.024449,-0.948012,0.266114,0.867774,-0.638702,2022-06-06 15:20:20.353333,7.529922999999997,213
458,41.400000,-0.232081,0.209755,-0.021282,-0.949573,0.255837,0.869459,-0.637779,2022-06-06 15:20:20.470000,7.646589999999996,214
465,41.516667,-0.239823,0.195594,-0.017503,-0.950748,0.247535,0.871194,-0.634782,2022-06-06 15:20:20.586667,7.763256999999996,215
472,41.633333,-0.245087,0.190369,-0.011342,-0.950559,0.239147,0.872145,-0.629363,2022-06-06 15:20:20.703333,7.879922999999998,216
479,41.750000,-0.245361,0.191371,-0.006063,-0.950336,0.229380,0.873830,-0.624280,2022-06-06 15:20:20.820000,7.996589999999998,217
485,41.850000,-0.242879,0.190252,-0.000904,-0.951217,0.219019,0.876522,-0.621744,2022-06-06 15:20:20.920000,8.096589999999999,218
492,41.966667,-0.244890,0.178635,0.007917,-0.952920,0.204325,0.877228,-0.618864,2022-06-06 15:20:21.036667,8.213256999999999,219
499,42.083333,-0.240188,0.163642,0.004700,-0.956823,0.189741,0.876370,-0.615626,2022-06-06 15:20:21.153333,8.329923,220
505,42.183333,-0.243083,0.148538,0.016335,-0.958426,0.177007,0.874784,-0.612223,2022-06-06 15:20:21.253333,8.429922999999995,221
513,42.316667,-0.231278,0.132532,0.019682,-0.963617,0.159194,0.871762,-0.606355,2022-06-06 15:20:21.386667,8.563257,222
520,42.433333,-0.210037,0.124097,0.027089,-0.969407,0.144636,0.871348,-0.600510,2022-06-06 15:20:21.503333,8.679922999999995,223
527,42.550000,-0.208990,0.111118,0.031655,-0.971069,0.133314,0.871231,-0.597146,2022-06-06 15:20:21.620000,8.796589999999995,224
533,42.650000,-0.211908,0.104345,0.032234,-0.971169,0.126497,0.870365,-0.595846,2022-06-06 15:20:21.720000,8.896589999999996,225
540,42.766667,-0.214704,0.097016,0.031732,-0.971331,0.120760,0.870792,-0.596695,2022-06-06 15:20:21.836667,9.013256999999996,226
548,42.900000,-0.217952,0.085620,0.037798,-0.971462,0.111889,0.869749,-0.594462,2022-06-06 15:20:21.970000,9.146589999999996,227
554,43.000000,-0.215875,0.081435,0.045315,-0.971963,0.101980,0.871124,-0.591287,2022-06-06 15:20:22.070000,9.246589999999998,228
562,43.133333,-0.216027,0.071352,0.035370,-0.973134,0.085454,0.867487,-0.584605,2022-06-06 15:20:22.203333,9.379922999999998,229
568,43.233333,-0.215620,0.062190,0.032629,-0.973949,0.074637,0.859602,-0.579384,2022-06-06 15:20:22.303333,9.479923,230
575,43.350000,-0.221425,0.057527,0.018961,-0.973294,0.062409,0.849744,-0.574423,2022-06-06 15:20:22.420000,9.596589999999999,231
582,43.466667,-0.229546,0.029398,0.019998,-0.972648,0.054898,0.840485,-0.570887,2022-06-06 15:20:22.536667,9.713256999999999,232
588,43.566667,-0.231101,0.017503,0.024474,-0.972464,0.046627,0.836482,-0.567190,2022-06-06 15:20:22.636667,9.813257,233
595,43.683333,-0.230939,0.008258,0.030778,-0.972446,0.036458,0.834779,-0.562504,2022-06-06 15:20:22.753333,9.929922999999995,234
602,43.800000,-0.230250,0.008672,0.027089,-0.972716,0.033289,0.834558,-0.559145,2022-06-06 15:20:22.870000,10.046589999999995,235
608,43.900000,-0.230699,0.013267,0.022894,-0.972665,0.034190,0.833685,-0.557934,2022-06-06 15:20:22.970000,10.146589999999996,236
615,44.016667,-0.232134,0.013058,0.027624,-0.972204,0.034260,0.833355,-0.556516,2022-06-06 15:20:23.086667,10.263256999999996,237
621,44.116667,-0.235831,0.017962,0.026339,-0.971271,0.032063,0.833714,-0.555300,2022-06-06 15:20:23.186667,10.363256999999997,238
628,44.233333,-0.236593,0.006056,0.037814,-0.970854,0.030706,0.833561,-0.550975,2022-06-06 15:20:23.303333,10.479923,239
634,44.333333,-0.228107,0.003487,0.034542,-0.973017,0.029180,0.833463,-0.547687,2022-06-06 15:20:23.403333,10.579923,240
641,44.450000,-0.231385,-0.000265,0.033345,-0.972291,0.024634,0.832830,-0.543909,2022-06-06 15:20:23.520000,10.69659,241
647,44.550000,-0.234630,-0.014949,0.040461,-0.971127,0.019653,0.829580,-0.538282,2022-06-06 15:20:23.620000,10.796589999999995,242
654,44.666667,-0.234910,-0.024610,0.043510,-0.970731,0.013330,0.825925,-0.529294,2022-06-06 15:20:23.736667,10.913256999999994,243
661,44.783333,-0.227450,-0.038381,0.044371,-0.972021,0.008702,0.820813,-0.519774,2022-06-06 15:20:23.853333,11.029922999999997,244
667,44.883333,-0.223196,-0.046745,0.055022,-0.972096,0.004956,0.816608,-0.512277,2022-06-06 15:20:23.953333,11.129922999999998,245
674,45.000000,-0.222790,-0.050871,0.052631,-0.972115,0.000123,0.816744,-0.505296,2022-06-06 15:20:24.070000,11.246589999999998,246
681,45.116667,-0.225813,-0.051824,0.053722,-0.971307,-0.004518,0.816667,-0.501499,2022-06-06 15:20:24.186667,11.363256999999997,247
688,45.233333,-0.235892,-0.049915,0.059778,-0.968654,-0.009509,0.815856,-0.501172,2022-06-06 15:20:24.303333,11.479923,248
695,45.350000,-0.238437,-0.053331,0.064104,-0.967571,-0.014703,0.818450,-0.500194,2022-06-06 15:20:24.420000,11.596589999999999,249
701,45.450000,-0.241381,-0.053905,0.065222,-0.966734,-0.019793,0.820480,-0.499429,2022-06-06 15:20:24.520000,11.69659,250
708,45.566667,-0.246926,-0.053231,0.063510,-0.965484,-0.029980,0.822240,-0.497748,2022-06-06 15:20:24.636667,11.813257,251
715,45.683333,-0.252665,-0.057875,0.073501,-0.963021,-0.042194,0.821229,-0.495475,2022-06-06 15:20:24.753333,11.929922999999995,252
722,45.800000,-0.254453,-0.073494,0.069419,-0.961787,-0.054387,0.818990,-0.491864,2022-06-06 15:20:24.870000,12.046589999999995,253
729,45.916667,-0.255713,-0.081505,0.079533,-0.960022,-0.067302,0.816448,-0.487336,2022-06-06 15:20:24.986667,12.163256999999994,254
735,46.016667,-0.259096,-0.087687,0.078429,-0.958660,-0.077154,0.815117,-0.483199,2022-06-06 15:20:25.086667,12.263256999999996,255
742,46.133333,-0.261229,-0.092923,0.083796,-0.957133,-0.085314,0.814561,-0.479832,2022-06-06 15:20:25.203333,12.379922999999998,256
749,46.250000,-0.257238,-0.099284,0.087026,-0.957287,-0.091771,0.817907,-0.477644,2022-06-06 15:20:25.320000,12.496589999999998,257
755,46.350000,-0.260242,-0.098960,0.086755,-0.956533,-0.096698,0.821099,-0.475866,2022-06-06 15:20:25.420000,12.596589999999999,258
762,46.466667,-0.261839,-0.096754,0.090018,-0.956021,-0.099973,0.822754,-0.474291,2022-06-06 15:20:25.536667,12.713256999999999,259
768,46.566667,-0.263814,-0.093581,0.094230,-0.955388,-0.101304,0.824398,-0.473068,2022-06-06 15:20:25.636667,12.813257,260
775,46.683333,-0.262104,-0.087557,0.089813,-0.956854,-0.101287,0.829084,-0.471026,2022-06-06 15:20:25.753333,12.929922999999995,261
781,46.783333,-0.262781,-0.093134,0.096173,-0.955522,-0.100668,0.832271,-0.471223,2022-06-06 15:20:25.853333,13.029922999999997,262
788,46.900000,-0.265347,-0.100704,0.097753,-0.953884,-0.101839,0.836132,-0.475190,2022-06-06 15:20:25.970000,13.146589999999996,263
794,47.000000,-0.269188,-0.106762,0.102111,-0.951690,-0.105488,0.839486,-0.478086,2022-06-06 15:20:26.070000,13.246589999999998,264
801,47.116667,-0.272302,-0.112771,0.109595,-0.949275,-0.113332,0.842748,-0.480596,2022-06-06 15:20:26.186667,13.363256999999997,265
807,47.216667,-0.275695,-0.117426,0.114804,-0.947113,-0.121794,0.844574,-0.481643,2022-06-06 15:20:26.286667,13.463256999999999,266
814,47.333333,-0.273618,-0.131696,0.125547,-0.944472,-0.131089,0.844572,-0.478796,2022-06-06 15:20:26.403333,13.579923,267
821,47.450000,-0.271782,-0.144494,0.135638,-0.941732,-0.139525,0.842650,-0.473028,2022-06-06 15:20:26.520000,13.69659,268
827,47.550000,-0.269606,-0.155183,0.141255,-0.939829,-0.146510,0.839102,-0.466946,2022-06-06 15:20:26.620000,13.796589999999995,269
834,47.666667,-0.261900,-0.168292,0.142831,-0.939514,-0.150777,0.836313,-0.461286,2022-06-06 15:20:26.736667,13.913256999999994,270
840,47.766667,-0.260884,-0.179651,0.143435,-0.937599,-0.153614,0.835449,-0.458367,2022-06-06 15:20:26.836667,14.013256999999996,271
847,47.883333,-0.255841,-0.191094,0.153465,-0.935135,-0.158810,0.835963,-0.459396,2022-06-06 15:20:26.953333,14.129922999999998,272
854,48.000000,-0.262910,-0.190363,0.156466,-0.932823,-0.165740,0.833812,-0.462326,2022-06-06 15:20:27.070000,14.246589999999998,273
860,48.100000,-0.259820,-0.195711,0.164342,-0.931227,-0.170854,0.833707,-0.463438,2022-06-06 15:20:27.170000,14.346589999999999,274
867,48.216667,-0.263084,-0.201257,0.166682,-0.928708,-0.176417,0.833986,-0.463615,2022-06-06 15:20:27.286667,14.463256999999999,275
873,48.316667,-0.252207,-0.211751,0.173268,-0.928187,-0.181714,0.834417,-0.463607,2022-06-06 15:20:27.386667,14.563257,276
881,48.450000,-0.245944,-0.223683,0.180053,-0.925774,-0.188403,0.833499,-0.459303,2022-06-06 15:20:27.520000,14.69659,277
887,48.550000,-0.247106,-0.234805,0.185603,-0.921606,-0.193063,0.831645,-0.452713,2022-06-06 15:20:27.620000,14.796589999999995,278
895,48.683333,-0.244963,-0.246134,0.192374,-0.917825,-0.198519,0.828842,-0.441004,2022-06-06 15:20:27.753333,14.929922999999995,279
902,48.800000,-0.245956,-0.259045,0.191264,-0.914232,-0.200234,0.825986,-0.432956,2022-06-06 15:20:27.870000,15.046589999999995,280
909,48.916667,-0.253507,-0.265606,0.189892,-0.910565,-0.202926,0.824459,-0.426055,2022-06-06 15:20:27.986667,15.163256999999994,281
915,49.016667,-0.245497,-0.270508,0.188145,-0.911679,-0.205540,0.824914,-0.420177,2022-06-06 15:20:28.086667,15.263256999999996,282
923,49.150000,-0.250427,-0.271743,0.195592,-0.908398,-0.211185,0.825050,-0.415260,2022-06-06 15:20:28.220000,15.396589999999996,283
930,49.266667,-0.252934,-0.273454,0.195785,-0.907147,-0.216204,0.826837,-0.415114,2022-06-06 15:20:28.336667,15.513256999999996,284
936,49.366667,-0.253526,-0.274648,0.193600,-0.907090,-0.220830,0.826979,-0.413565,2022-06-06 15:20:28.436667,15.613256999999997,285
944,49.500000,-0.255028,-0.274325,0.195285,-0.906405,-0.227177,0.827471,-0.408097,2022-06-06 15:20:28.570000,15.746589999999998,286
951,49.616667,-0.255233,-0.280617,0.197977,-0.903834,-0.232965,0.828395,-0.401146,2022-06-06 15:20:28.686667,15.863256999999997,287
957,49.716667,-0.257303,-0.290476,0.197835,-0.900156,-0.238342,0.827718,-0.393484,2022-06-06 15:20:28.786667,15.963256999999999,288
964,49.833333,-0.250948,-0.308954,0.211697,-0.892612,-0.244373,0.825919,-0.384092,2022-06-06 15:20:28.903333,16.079923,289
971,49.950000,-0.253073,-0.322326,0.208642,-0.887991,-0.249138,0.823413,-0.372474,2022-06-06 15:20:29.020000,16.19659,290
977,50.050000,-0.252161,-0.337477,0.220212,-0.879790,-0.252724,0.820747,-0.363606,2022-06-06 15:20:29.120000,16.296589999999995,291
985,50.183333,-0.250023,-0.347695,0.219782,-0.876523,-0.258402,0.820507,-0.353933,2022-06-06 15:20:29.253333,16.429922999999995,292
991,50.283333,-0.255951,-0.349661,0.220254,-0.873908,-0.263549,0.821690,-0.348980,2022-06-06 15:20:29.353333,16.529922999999997,293
998,50.400000,-0.263752,-0.347110,0.221994,-0.872163,-0.269434,0.821842,-0.344122,2022-06-06 15:20:29.470000,16.646589999999996,294
1004,50.500000,-0.270075,-0.350278,0.223097,-0.868673,-0.274558,0.823132,-0.341783,2022-06-06 15:20:29.570000,16.746589999999998,295
1011,50.616667,-0.269806,-0.354413,0.221586,-0.867465,-0.278471,0.823635,-0.339476,2022-06-06 15:20:29.686667,16.863256999999997,296
1018,50.733333,-0.269612,-0.361544,0.223348,-0.864124,-0.281046,0.822967,-0.335734,2022-06-06 15:20:29.803333,16.979923,297
1024,50.833333,-0.269777,-0.368924,0.225850,-0.860295,-0.282935,0.822596,-0.331247,2022-06-06 15:20:29.903333,17.079923,298
1031,50.950000,-0.260848,-0.380629,0.234244,-0.855693,-0.284185,0.820432,-0.322729,2022-06-06 15:20:30.020000,17.19659,299
1038,51.066667,-0.251224,-0.388538,0.239147,-0.853659,-0.282347,0.818231,-0.308152,2022-06-06 15:20:30.136667,17.313257,300
1044,51.166667,-0.251691,-0.400721,0.241441,-0.847219,-0.280102,0.814894,-0.300187,2022-06-06 15:20:30.236667,17.413256999999994,301
1051,51.283333,-0.247877,-0.420905,0.257405,-0.833750,-0.276488,0.812172,-0.292402,2022-06-06 15:20:30.353333,17.529922999999997,302
1057,51.383333,-0.241937,-0.430042,0.244072,-0.834841,-0.275308,0.812314,-0.285429,2022-06-06 15:20:30.453333,17.629922999999998,303
1064,51.500000,-0.243408,-0.438889,0.248743,-0.828406,-0.275765,0.815005,-0.278496,2022-06-06 15:20:30.570000,17.746589999999998,304
1071,51.616667,-0.249202,-0.440574,0.257519,-0.823090,-0.278646,0.815629,-0.272446,2022-06-06 15:20:30.686667,17.863256999999997,305
1078,51.733333,-0.251741,-0.442692,0.263275,-0.819351,-0.284245,0.816091,-0.267318,2022-06-06 15:20:30.803333,17.979923,306
1084,51.833333,-0.254964,-0.448970,0.271231,-0.812313,-0.288109,0.818196,-0.262037,2022-06-06 15:20:30.903333,18.079923,307
1091,51.950000,-0.252867,-0.451577,0.275130,-0.810210,-0.291722,0.819894,-0.253983,2022-06-06 15:20:31.020000,18.19659,308
1097,52.050000,-0.253908,-0.451309,0.269034,-0.812078,-0.296477,0.822259,-0.246205,2022-06-06 15:20:31.120000,18.296589999999995,309
1104,52.166667,-0.249251,-0.459865,0.261133,-0.811300,-0.299658,0.823777,-0.235554,2022-06-06 15:20:31.236667,18.413256999999994,310
1111,52.283333,-0.246924,-0.477127,0.268411,-0.799584,-0.302053,0.823097,-0.225466,2022-06-06 15:20:31.353333,18.529922999999997,311
1118,52.400000,-0.240095,-0.487858,0.271304,-0.794193,-0.306104,0.819223,-0.215901,2022-06-06 15:20:31.470000,18.646589999999996,312
1125,52.516667,-0.235659,-0.502759,0.273241,-0.785517,-0.310155,0.816897,-0.208932,2022-06-06 15:20:31.586667,18.763256999999996,313
1131,52.616667,-0.230801,-0.508922,0.276116,-0.781978,-0.314001,0.815468,-0.204205,2022-06-06 15:20:31.686667,18.863256999999997,314
1139,52.750000,-0.233265,-0.507892,0.277276,-0.781506,-0.319661,0.814581,-0.196270,2022-06-06 15:20:31.820000,18.996589999999998,315
1145,52.850000,-0.237131,-0.503983,0.273793,-0.784097,-0.323131,0.815951,-0.191279,2022-06-06 15:20:31.920000,19.09659,316
1152,52.966667,-0.233495,-0.505184,0.276806,-0.783357,-0.326340,0.817865,-0.185799,2022-06-06 15:20:32.036667,19.213257,317
1159,53.083333,-0.232985,-0.499125,0.274633,-0.788143,-0.329196,0.818257,-0.178382,2022-06-06 15:20:32.153333,19.329923,318
1166,53.200000,-0.233958,-0.498881,0.271599,-0.789060,-0.332145,0.820185,-0.168205,2022-06-06 15:20:32.270000,19.44659,319
1173,53.316667,-0.229002,-0.505650,0.278116,-0.783918,-0.335754,0.820495,-0.160120,2022-06-06 15:20:32.386667,19.563257,320
1179,53.416667,-0.227687,-0.512922,0.282943,-0.777826,-0.338545,0.819928,-0.153386,2022-06-06 15:20:32.486667,19.663256999999994,321
1186,53.533333,-0.222663,-0.521760,0.283102,-0.773331,-0.341178,0.818956,-0.143596,2022-06-06 15:20:32.603333,19.779922999999997,322
1192,53.633333,-0.219615,-0.536460,0.286838,-0.762695,-0.344802,0.816309,-0.139398,2022-06-06 15:20:32.703333,19.879922999999998,323
1199,53.750000,-0.215987,-0.551780,0.293701,-0.750085,-0.348685,0.811612,-0.136759,2022-06-06 15:20:32.820000,19.996589999999998,324
1206,53.866667,-0.217730,-0.555147,0.293923,-0.747003,-0.350133,0.809022,-0.132959,2022-06-06 15:20:32.936667,20.113256999999997,325
1212,53.966667,-0.212919,-0.559422,0.294109,-0.745126,-0.349174,0.809671,-0.128804,2022-06-06 15:20:33.036667,20.213257,326
1219,54.083333,-0.209386,-0.570694,0.294638,-0.737329,-0.347496,0.811815,-0.122639,2022-06-06 15:20:33.153333,20.329923,327
1225,54.183333,-0.208345,-0.561084,0.298650,-0.743361,-0.344932,0.814011,-0.119735,2022-06-06 15:20:33.253333,20.429922999999995,328
1232,54.300000,-0.204111,-0.567593,0.298497,-0.739646,-0.340347,0.817777,-0.115917,2022-06-06 15:20:33.370000,20.546589999999995,329
1239,54.416667,-0.206150,-0.570092,0.297602,-0.737516,-0.334358,0.820598,-0.112862,2022-06-06 15:20:33.486667,20.663256999999994,330
1245,54.516667,-0.202778,-0.573825,0.299602,-0.734742,-0.329527,0.822088,-0.110844,2022-06-06 15:20:33.586667,20.763256999999996,331
1253,54.650000,-0.203045,-0.587648,0.302917,-0.722277,-0.323245,0.821107,-0.111400,2022-06-06 15:20:33.720000,20.896589999999996,332
1259,54.750000,-0.194922,-0.594347,0.303313,-0.718859,-0.317746,0.820764,-0.109112,2022-06-06 15:20:33.820000,20.996589999999998,333
1266,54.866667,-0.195908,-0.603296,0.306513,-0.709721,-0.313581,0.818728,-0.108548,2022-06-06 15:20:33.936667,21.113256999999997,334
1273,54.983333,-0.187122,-0.613780,0.312374,-0.700487,-0.312397,0.814270,-0.108411,2022-06-06 15:20:34.053333,21.229923,335
1279,55.083333,-0.184723,-0.616714,0.316091,-0.696870,-0.311971,0.811590,-0.107932,2022-06-06 15:20:34.153333,21.329923,336
1286,55.200000,-0.177657,-0.617469,0.321641,-0.695498,-0.311600,0.809191,-0.107071,2022-06-06 15:20:34.270000,21.44659,337
