,Frame,Time_Seconds,az_camera1_Rotation_X,az_camera1_Rotation_Y,az_camera1_Rotation_Z,az_camera1_Rotation_W,az_camera1_Position_X,az_camera1_Position_Y,az_camera1_Position_Z
56,56,0.933333,0.067438,0.129787,0.008764,0.989207,1.051132,0.955261,-1.177236
57,57,0.950000,0.067925,0.129856,0.008878,0.989164,1.051149,0.955259,-1.177208
58,58,0.966667,0.067840,0.129777,0.008815,0.989181,1.051120,0.955257,-1.177227
59,59,0.983333,0.067512,0.129725,0.008831,0.989210,1.051114,0.955246,-1.177242
60,60,1.000000,0.067626,0.129869,0.008954,0.989182,1.051149,0.955238,-1.177240
61,61,1.016667,0.067719,0.129926,0.008879,0.989169,1.051137,0.955289,-1.177238
62,62,1.033333,0.066539,0.129870,0.009412,0.989251,1.051142,0.955387,-1.177250
63,63,1.050000,0.067502,0.129799,0.009073,0.989198,1.051142,0.955284,-1.177233
64,64,1.066667,0.067622,0.129776,0.009018,0.989194,1.051161,0.955262,-1.177249
65,65,1.083333,0.067649,0.129916,0.008785,0.989176,1.051125,0.955296,-1.177243
66,66,1.100000,0.067361,0.129896,0.008701,0.989199,1.051122,0.955306,-1.177247
67,67,1.116667,0.067572,0.129871,0.008730,0.989187,1.051168,0.955285,-1.177244
68,68,1.133333,0.067726,0.129919,0.008902,0.989169,1.051143,0.955281,-1.177260
69,69,1.150000,0.067743,0.129876,0.008791,0.989174,1.051134,0.955283,-1.177244
70,70,1.166667,0.067482,0.129944,0.008871,0.989182,1.051159,0.955279,-1.177256
71,71,1.183333,0.067545,0.129906,0.008791,0.989184,1.051157,0.955303,-1.177266
72,72,1.200000,0.066305,0.129926,0.009319,0.989260,1.051142,0.955404,-1.177264
73,73,1.216667,0.067448,0.129900,0.008806,0.989191,1.051127,0.955308,-1.177253
74,74,1.233333,0.067618,0.129793,0.009035,0.989192,1.051165,0.955262,-1.177253
75,75,1.250000,0.067730,0.129903,0.008630,0.989173,1.051146,0.955294,-1.177244
76,76,1.266667,0.067231,0.129827,0.008706,0.989216,1.051112,0.955318,-1.177258
77,77,1.283333,0.067343,0.129815,0.008822,0.989210,1.051140,0.955290,-1.177246
78,78,1.300000,0.067559,0.129854,0.008766,0.989190,1.051153,0.955270,-1.177261
79,79,1.316667,0.067530,0.129754,0.008814,0.989205,1.051104,0.955281,-1.177274
80,80,1.333333,0.067404,0.129755,0.008891,0.989213,1.051130,0.955252,-1.177248
81,81,1.350000,0.067576,0.129789,0.008974,0.989195,1.051143,0.955262,-1.177254
82,82,1.366667,0.067470,0.129727,0.008879,0.989212,1.051097,0.955279,-1.177275
83,83,1.383333,0.067466,0.129696,0.008717,0.989217,1.051096,0.955278,-1.177277
84,84,1.400000,0.067662,0.129799,0.008832,0.989190,1.051154,0.955244,-1.177269
85,85,1.416667,0.067874,0.129827,0.008756,0.989172,1.051137,0.955254,-1.177260
86,86,1.433333,0.067640,0.129814,0.008747,0.989190,1.051089,0.955295,-1.177255
87,87,1.450000,0.067316,0.129810,0.008809,0.989212,1.051114,0.955277,-1.177247
88,88,1.466667,0.067567,0.129811,0.008641,0.989196,1.051152,0.955246,-1.177253
89,89,1.483333,0.067756,0.129790,0.008915,0.989184,1.051111,0.955260,-1.177261
90,90,1.500000,0.067377,0.129745,0.008943,0.989215,1.051103,0.955260,-1.177262
91,91,1.516667,0.067572,0.129751,0.008825,0.989202,1.051135,0.955255,-1.177247
92,92,1.533333,0.067745,0.129855,0.008757,0.989177,1.051125,0.955275,-1.177248
93,93,1.550000,0.067355,0.129721,0.008899,0.989220,1.051100,0.955283,-1.177273
94,94,1.566667,0.067536,0.129736,0.008948,0.989205,1.051126,0.955246,-1.177255
95,95,1.583333,0.067880,0.129905,0.008905,0.989160,1.051145,0.955258,-1.177255
96,96,1.600000,0.067711,0.129836,0.008894,0.989181,1.051112,0.955296,-1.177254
97,97,1.616667,0.067274,0.129784,0.008959,0.989217,1.051124,0.955292,-1.177252
98,98,1.633333,0.067492,0.129854,0.009014,0.989192,1.051155,0.955253,-1.177258
99,99,1.650000,0.067818,0.129823,0.008902,0.989175,1.051127,0.955274,-1.177254
100,100,1.666667,0.067645,0.129778,0.008932,0.989193,1.051116,0.955277,-1.177238
101,101,1.683333,0.067553,0.129809,0.008886,0.989195,1.051148,0.955269,-1.177239
102,102,1.700000,0.067607,0.129784,0.008987,0.989194,1.051133,0.955268,-1.177263
103,103,1.716667,0.067424,0.129708,0.008933,0.989217,1.051091,0.955285,-1.177284
104,104,1.733333,0.067472,0.129744,0.008987,0.989208,1.051112,0.955256,-1.177264
105,105,1.750000,0.067657,0.129812,0.008978,0.989187,1.051154,0.955238,-1.177270
106,106,1.766667,0.067689,0.129822,0.008945,0.989184,1.051109,0.955270,-1.177263
107,107,1.783333,0.067282,0.129714,0.008862,0.989226,1.051094,0.955269,-1.177266
108,108,1.800000,0.067403,0.129767,0.008951,0.989210,1.051132,0.955243,-1.177251
109,109,1.816667,0.067569,0.129693,0.008838,0.989210,1.051130,0.955240,-1.177278
110,110,1.833333,0.067626,0.129720,0.008796,0.989203,1.051089,0.955270,-1.177263
111,111,1.850000,0.067381,0.129776,0.008966,0.989211,1.051123,0.955259,-1.177262
112,112,1.866667,0.067593,0.129789,0.008834,0.989196,1.051147,0.955249,-1.177271
113,113,1.883333,0.067473,0.129750,0.008919,0.989208,1.051092,0.955270,-1.177291
114,114,1.900000,0.067479,0.129676,0.008917,0.989217,1.051095,0.955246,-1.177272
115,115,1.916667,0.067498,0.129831,0.009069,0.989194,1.051137,0.955225,-1.177259
116,116,1.933333,0.067649,0.129787,0.008893,0.989192,1.051108,0.955260,-1.177267
117,117,1.950000,0.067327,0.129757,0.008732,0.989219,1.051080,0.955297,-1.177286
118,118,1.966667,0.067400,0.129809,0.009036,0.989204,1.051128,0.955270,-1.177263
119,119,1.983333,0.067606,0.129823,0.008935,0.989189,1.051147,0.955250,-1.177278
120,120,2.000000,0.067719,0.129764,0.008932,0.989189,1.051092,0.955269,-1.177267
121,121,2.016667,0.067414,0.129701,0.009002,0.989218,1.051105,0.955265,-1.177269
122,122,2.033333,0.067811,0.129969,0.008915,0.989156,1.051152,0.955251,-1.177228
123,123,2.050000,0.067733,0.129856,0.008858,0.989177,1.051118,0.955265,-1.177246
124,124,2.066667,0.067675,0.129745,0.008906,0.989195,1.051096,0.955271,-1.177247
125,125,2.083333,0.067644,0.129839,0.009040,0.989184,1.051140,0.955246,-1.177262
126,126,2.100000,0.067608,0.129754,0.008971,0.989198,1.051151,0.955241,-1.177281
127,127,2.116667,0.067502,0.129734,0.008929,0.989208,1.051097,0.955285,-1.177284
128,128,2.133333,0.067506,0.129792,0.008923,0.989200,1.051101,0.955287,-1.177273
129,129,2.150000,0.067730,0.129898,0.009018,0.989170,1.051134,0.955269,-1.177269
130,130,2.166667,0.068018,0.129857,0.009031,0.989156,1.051115,0.955287,-1.177264
131,131,2.183333,0.067730,0.129926,0.008850,0.989168,1.051104,0.955303,-1.177260
132,132,2.200000,0.067625,0.129986,0.009033,0.989166,1.051137,0.955290,-1.177271
133,133,2.216667,0.067841,0.130066,0.008951,0.989141,1.051136,0.955299,-1.177258
134,134,2.233333,0.067728,0.129871,0.008898,0.989175,1.051100,0.955302,-1.177272
135,135,2.250000,0.067579,0.129895,0.008980,0.989181,1.051128,0.955275,-1.177273
136,136,2.266667,0.067734,0.129934,0.009081,0.989165,1.051156,0.955266,-1.177261
137,137,2.283333,0.067542,0.129966,0.008798,0.989176,1.051134,0.955309,-1.177283
138,138,2.300000,0.067395,0.129872,0.008803,0.989199,1.051121,0.955322,-1.177286
139,139,2.316667,0.067624,0.129932,0.008913,0.989174,1.051171,0.955284,-1.177263
140,140,2.333333,0.067691,0.129801,0.009135,0.989185,1.051150,0.955271,-1.177288
141,141,2.350000,0.067546,0.129718,0.008902,0.989208,1.051109,0.955290,-1.177297
142,142,2.366667,0.067440,0.129875,0.008851,0.989195,1.051141,0.955276,-1.177269
143,143,2.383333,0.067663,0.129844,0.009021,0.989182,1.051147,0.955267,-1.177284
144,144,2.400000,0.067530,0.129752,0.008904,0.989204,1.051110,0.955274,-1.177301
145,145,2.416667,0.067584,0.129709,0.008862,0.989207,1.051114,0.955271,-1.177286
146,146,2.433333,0.067612,0.129789,0.008945,0.989193,1.051151,0.955249,-1.177281
147,147,2.450000,0.067432,0.129826,0.008834,0.989202,1.051127,0.955280,-1.177302
148,148,2.466667,0.067004,0.129136,0.006438,0.989340,1.051213,0.955146,-1.177256
149,149,2.483333,0.067519,0.129825,0.008917,0.989195,1.051141,0.955255,-1.177272
150,150,2.500000,0.067667,0.129663,0.008853,0.989207,1.051153,0.955236,-1.177286
151,151,2.516667,0.067696,0.129709,0.008947,0.989198,1.051103,0.955270,-1.177283
152,152,2.533333,0.067307,0.129722,0.008870,0.989224,1.051114,0.955266,-1.177278
153,153,2.550000,0.067454,0.129779,0.008997,0.989205,1.051145,0.955252,-1.177272
154,154,2.566667,0.067701,0.129791,0.008948,0.989187,1.051117,0.955263,-1.177276
155,155,2.583333,0.067666,0.129718,0.008976,0.989199,1.051096,0.955259,-1.177273
156,156,2.600000,0.067578,0.129744,0.008870,0.989202,1.051140,0.955229,-1.177279
157,157,2.616667,0.067663,0.129819,0.008866,0.989187,1.051133,0.955252,-1.177256
158,158,2.633333,0.067255,0.129229,0.006137,0.989312,1.051218,0.955126,-1.177195
159,159,2.650000,-0.067199,-0.129145,-0.006461,-0.989325,1.051230,0.955094,-1.177194
160,160,2.666667,-0.067720,-0.129810,-0.008652,-0.989186,1.051169,0.955192,-1.177236
161,161,2.683333,-0.067701,-0.129820,-0.008670,-0.989186,1.051129,0.955226,-1.177223
162,162,2.700000,-0.067068,-0.129178,-0.006275,-0.989331,1.051217,0.955109,-1.177199
163,163,2.716667,-0.067016,-0.128959,-0.004504,-0.989373,1.051257,0.954985,-1.177139
164,164,2.733333,-0.067713,-0.129865,-0.008815,-0.989178,1.051130,0.955244,-1.177229
165,165,2.750000,-0.067680,-0.129760,-0.008847,-0.989193,1.051114,0.955239,-1.177228
166,166,2.766667,-0.067513,-0.129797,-0.008800,-0.989200,1.051139,0.955232,-1.177225
167,167,2.783333,-0.067788,-0.129906,-0.008773,-0.989167,1.051143,0.955252,-1.177207
168,168,2.800000,-0.067534,-0.129864,-0.008553,-0.989192,1.051128,0.955290,-1.177219
169,169,2.816667,-0.067354,-0.129766,-0.008754,-0.989216,1.051137,0.955266,-1.177220
170,170,2.833333,-0.067578,-0.129845,-0.008915,-0.989189,1.051177,0.955228,-1.177209
171,171,2.850000,-0.067595,-0.129705,-0.008959,-0.989205,1.051157,0.955250,-1.177240
172,172,2.866667,-0.067309,-0.129623,-0.008841,-0.989237,1.051133,0.955276,-1.177240
173,173,2.883333,-0.067397,-0.129766,-0.008802,-0.989212,1.051169,0.955271,-1.177233
174,174,2.900000,-0.067552,-0.129845,-0.008580,-0.989193,1.051179,0.955269,-1.177251
175,175,2.916667,-0.067407,-0.129736,-0.008685,-0.989217,1.051139,0.955283,-1.177249
176,176,2.933333,-0.067648,-0.129836,-0.008685,-0.989187,1.051149,0.955260,-1.177212
177,177,2.950000,-0.067569,-0.129852,-0.008719,-0.989190,1.051171,0.955237,-1.177241
178,178,2.966667,-0.067730,-0.129819,-0.008773,-0.989183,1.051126,0.955269,-1.177248
179,179,2.983333,-0.066992,-0.129171,-0.006257,-0.989337,1.051218,0.955139,-1.177210
180,180,3.000000,-0.067418,-0.129735,-0.008862,-0.989214,1.051153,0.955235,-1.177238
181,181,3.016667,-0.067748,-0.129815,-0.008747,-0.989182,1.051154,0.955235,-1.177242
182,182,3.033333,-0.067642,-0.129769,-0.008728,-0.989196,1.051115,0.955269,-1.177244
183,183,3.050000,-0.068234,-0.129473,-0.005653,-0.989216,1.051273,0.955052,-1.177175
184,184,3.066667,-0.067517,-0.129838,-0.008829,-0.989195,1.051157,0.955249,-1.177250
185,185,3.083333,-0.067503,-0.129773,-0.008766,-0.989205,1.051109,0.955261,-1.177273
186,186,3.100000,-0.067589,-0.129841,-0.008923,-0.989188,1.051108,0.955249,-1.177256
187,187,3.116667,-0.067494,-0.129807,-0.008952,-0.989199,1.051156,0.955219,-1.177244
188,188,3.133333,-0.067439,-0.129248,-0.006467,-0.989295,1.051229,0.955130,-1.177201
189,189,3.150000,-0.067317,-0.129237,-0.006167,-0.989307,1.051202,0.955150,-1.177208
190,190,3.166667,-0.067400,-0.129802,-0.008827,-0.989207,1.051130,0.955248,-1.177249
191,191,3.183333,-0.067827,-0.129871,-0.008653,-0.989170,1.051169,0.955232,-1.177241
192,192,3.200000,-0.067733,-0.129780,-0.008860,-0.989187,1.051110,0.955267,-1.177261
193,193,3.216667,-0.067384,-0.129748,-0.008895,-0.989215,1.051106,0.955270,-1.177279
194,194,3.233333,-0.067564,-0.129803,-0.008996,-0.989194,1.051135,0.955247,-1.177259
195,195,3.250000,-0.067812,-0.129813,-0.008930,-0.989177,1.051120,0.955260,-1.177258
196,196,3.266667,-0.067493,-0.129768,-0.008966,-0.989204,1.051105,0.955259,-1.177272
197,197,3.283333,-0.067552,-0.129812,-0.008894,-0.989195,1.051147,0.955249,-1.177257
198,198,3.300000,-0.067563,-0.129784,-0.008935,-0.989197,1.051147,0.955252,-1.177267
199,199,3.316667,-0.067513,-0.129762,-0.008929,-0.989204,1.051113,0.955269,-1.177268
200,200,3.333333,-0.067413,-0.129769,-0.008875,-0.989210,1.051125,0.955264,-1.177244
201,201,3.350000,-0.067768,-0.129887,-0.009048,-0.989169,1.051164,0.955232,-1.177240
202,202,3.366667,-0.067666,-0.129748,-0.008662,-0.989198,1.051147,0.955247,-1.177267
203,203,3.383333,-0.067576,-0.129807,-0.008810,-0.989195,1.051113,0.955282,-1.177245
204,204,3.400000,-0.067503,-0.129758,-0.008888,-0.989205,1.051146,0.955264,-1.177247
205,205,3.416667,-0.067655,-0.129800,-0.008882,-0.989190,1.051150,0.955256,-1.177255
206,206,3.433333,-0.067834,-0.129844,-0.008855,-0.989172,1.051124,0.955259,-1.177242
207,207,3.450000,-0.067480,-0.129803,-0.008879,-0.989201,1.051142,0.955247,-1.177247
208,208,3.466667,-0.067558,-0.129715,-0.008980,-0.989206,1.051146,0.955249,-1.177264
209,209,3.483333,-0.067758,-0.129739,-0.008887,-0.989190,1.051118,0.955279,-1.177258
210,210,3.500000,-0.067429,-0.129737,-0.008836,-0.989214,1.051117,0.955288,-1.177259
211,211,3.516667,-0.067672,-0.129789,-0.009044,-0.989188,1.051162,0.955252,-1.177240
212,212,3.533333,-0.067854,-0.129787,-0.008792,-0.989179,1.051164,0.955252,-1.177244
213,213,3.550000,-0.067668,-0.129777,-0.008797,-0.989192,1.051108,0.955305,-1.177252
214,214,3.566667,-0.067549,-0.129823,-0.008988,-0.989193,1.051123,0.955300,-1.177239
215,215,3.583333,-0.067644,-0.129739,-0.008926,-0.989198,1.051162,0.955261,-1.177264
216,216,3.600000,-0.067784,-0.129799,-0.009054,-0.989179,1.051126,0.955267,-1.177259
217,217,3.616667,-0.067459,-0.129777,-0.009019,-0.989205,1.051118,0.955265,-1.177270
218,218,3.633333,-0.067579,-0.129768,-0.008993,-0.989198,1.051134,0.955249,-1.177263
219,219,3.650000,-0.067499,-0.129797,-0.008952,-0.989200,1.051121,0.955284,-1.177284
220,220,3.666667,-0.067433,-0.129782,-0.008839,-0.989207,1.051103,0.955284,-1.177272
221,221,3.683333,-0.067496,-0.129827,-0.008965,-0.989196,1.051149,0.955254,-1.177249
222,222,3.700000,-0.067691,-0.129860,-0.008900,-0.989179,1.051163,0.955224,-1.177262
223,223,3.716667,-0.067691,-0.129725,-0.008885,-0.989197,1.051104,0.955275,-1.177269
224,224,3.733333,-0.067458,-0.129725,-0.008850,-0.989213,1.051104,0.955279,-1.177271
225,225,3.750000,-0.067478,-0.129869,-0.008991,-0.989192,1.051154,0.955271,-1.177252
226,226,3.766667,-0.067769,-0.129781,-0.008785,-0.989185,1.051146,0.955249,-1.177250
227,227,3.783333,-0.067641,-0.129800,-0.008890,-0.989190,1.051110,0.955237,-1.177239
228,228,3.800000,-0.067633,-0.129885,-0.008976,-0.989179,1.051133,0.955212,-1.177240
229,229,3.816667,-0.067590,-0.129776,-0.009013,-0.989196,1.051129,0.955243,-1.177259
230,230,3.833333,-0.067436,-0.129725,-0.008912,-0.989214,1.051100,0.955271,-1.177260
231,231,3.850000,-0.067449,-0.129758,-0.008883,-0.989209,1.051129,0.955255,-1.177249
232,232,3.866667,-0.067659,-0.129875,-0.008892,-0.989179,1.051176,0.955214,-1.177248
233,233,3.883333,-0.067848,-0.129864,-0.008916,-0.989168,1.051117,0.955257,-1.177245
234,234,3.900000,-0.067377,-0.129760,-0.008900,-0.989214,1.051107,0.955274,-1.177251
235,235,3.916667,-0.067523,-0.129754,-0.008966,-0.989204,1.051144,0.955264,-1.177239
236,236,3.933333,-0.067623,-0.129737,-0.008850,-0.989200,1.051161,0.955227,-1.177253
237,237,3.950000,-0.067489,-0.129764,-0.008956,-0.989205,1.051113,0.955241,-1.177268
238,238,3.966667,-0.067516,-0.129746,-0.008984,-0.989205,1.051129,0.955231,-1.177255
239,239,3.983333,-0.067618,-0.129812,-0.008891,-0.989190,1.051146,0.955259,-1.177251
240,240,4.000000,-0.067536,-0.129762,-0.008877,-0.989203,1.051122,0.955282,-1.177261
241,241,4.016667,-0.067515,-0.129717,-0.008887,-0.989210,1.051126,0.955262,-1.177254
242,242,4.033333,-0.067648,-0.129831,-0.009035,-0.989185,1.051165,0.955228,-1.177238
243,243,4.050000,-0.067686,-0.129768,-0.009054,-0.989190,1.051137,0.955250,-1.177270
244,244,4.066667,-0.067628,-0.129813,-0.008906,-0.989189,1.051100,0.955293,-1.177255
245,245,4.083333,-0.067460,-0.129746,-0.008974,-0.989209,1.051134,0.955268,-1.177252
246,246,4.100000,-0.067913,-0.129874,-0.008896,-0.989162,1.051164,0.955252,-1.177240
247,247,4.116667,-0.067728,-0.129771,-0.008929,-0.989188,1.051116,0.955286,-1.177260
248,248,4.133333,-0.067588,-0.129852,-0.008821,-0.989188,1.051112,0.955287,-1.177247
249,249,4.150000,-0.067553,-0.129808,-0.009010,-0.989194,1.051143,0.955269,-1.177262
250,250,4.166667,-0.067769,-0.129928,-0.008898,-0.989165,1.051124,0.955279,-1.177250
251,251,4.183333,-0.067646,-0.129854,-0.008888,-0.989183,1.051104,0.955282,-1.177250
252,252,4.200000,-0.067565,-0.129840,-0.009052,-0.989189,1.051141,0.955251,-1.177261
253,253,4.216667,-0.067812,-0.129922,-0.008848,-0.989163,1.051138,0.955274,-1.177256
254,254,4.233333,-0.067301,-0.129285,-0.006357,-0.989301,1.051206,0.955161,-1.177217
255,255,4.250000,-0.067334,-0.129840,-0.008851,-0.989206,1.051114,0.955279,-1.177268
256,256,4.266667,-0.067618,-0.129828,-0.008801,-0.989189,1.051151,0.955234,-1.177276
257,257,4.283333,-0.067765,-0.129912,-0.008680,-0.989169,1.051123,0.955258,-1.177275
258,258,4.300000,-0.067540,-0.129779,-0.008926,-0.989200,1.051093,0.955269,-1.177261
259,259,4.316667,-0.067467,-0.129717,-0.008835,-0.989214,1.051131,0.955261,-1.177260
260,260,4.333333,-0.067750,-0.129862,-0.008732,-0.989176,1.051137,0.955257,-1.177247
261,261,4.350000,-0.067642,-0.129737,-0.008765,-0.989200,1.051098,0.955277,-1.177254
262,262,4.366667,-0.067527,-0.129718,-0.009031,-0.989208,1.051131,0.955237,-1.177260
263,263,4.383333,-0.067730,-0.129698,-0.009126,-0.989196,1.051149,0.955227,-1.177264
264,264,4.400000,-0.067505,-0.129713,-0.008928,-0.989211,1.051109,0.955258,-1.177273
265,265,4.416667,-0.067263,-0.129705,-0.008862,-0.989229,1.051105,0.955279,-1.177258
266,266,4.433333,-0.067648,-0.129727,-0.008887,-0.989200,1.051142,0.955233,-1.177247
267,267,4.450000,-0.067647,-0.129737,-0.008982,-0.989197,1.051133,0.955227,-1.177268
268,268,4.466667,-0.067635,-0.129748,-0.008877,-0.989198,1.051113,0.955258,-1.177246
269,269,4.483333,-0.067506,-0.129768,-0.008882,-0.989204,1.051138,0.955264,-1.177246
270,270,4.500000,-0.067521,-0.129797,-0.008754,-0.989200,1.051167,0.955263,-1.177258
271,271,4.516667,-0.067653,-0.129837,-0.008860,-0.989185,1.051124,0.955277,-1.177246
272,272,4.533333,-0.067404,-0.129737,-0.008993,-0.989214,1.051128,0.955253,-1.177247
273,273,4.550000,-0.067661,-0.129826,-0.009070,-0.989184,1.051147,0.955239,-1.177246
274,274,4.566667,-0.067591,-0.129762,-0.009013,-0.989198,1.051134,0.955260,-1.177258
275,275,4.583333,-0.067326,-0.129789,-0.008822,-0.989214,1.051117,0.955274,-1.177256
276,276,4.600000,-0.067494,-0.129799,-0.008877,-0.989201,1.051140,0.955247,-1.177256
277,277,4.616667,-0.067557,-0.129779,-0.008781,-0.989200,1.051154,0.955236,-1.177279
278,278,4.633333,-0.067677,-0.129782,-0.008803,-0.989191,1.051104,0.955266,-1.177265
279,279,4.650000,-0.067411,-0.129816,-0.008892,-0.989204,1.051132,0.955265,-1.177261
280,280,4.666667,-0.067603,-0.129790,-0.008929,-0.989194,1.051156,0.955245,-1.177246
281,281,4.683333,-0.067756,-0.129864,-0.008778,-0.989175,1.051121,0.955263,-1.177249
282,282,4.700000,-0.067427,-0.129748,-0.008815,-0.989213,1.051108,0.955256,-1.177259
283,283,4.716667,-0.067574,-0.129869,-0.008964,-0.989185,1.051143,0.955232,-1.177239
284,284,4.733333,-0.067900,-0.129805,-0.008854,-0.989172,1.051141,0.955238,-1.177257
285,285,4.750000,-0.067667,-0.129694,-0.008942,-0.989202,1.051099,0.955259,-1.177261
286,286,4.766667,-0.067538,-0.129686,-0.009078,-0.989211,1.051113,0.955242,-1.177265
287,287,4.783333,-0.067557,-0.129735,-0.008931,-0.989204,1.051142,0.955227,-1.177279
288,288,4.800000,-0.067665,-0.129800,-0.008680,-0.989191,1.051120,0.955248,-1.177267
289,289,4.816667,-0.067510,-0.129887,-0.008848,-0.989188,1.051111,0.955280,-1.177240
290,290,4.833333,-0.067463,-0.129885,-0.008950,-0.989191,1.051158,0.955265,-1.177249
291,291,4.850000,-0.067613,-0.129809,-0.008747,-0.989192,1.051149,0.955278,-1.177284
292,292,4.866667,-0.066418,-0.129918,-0.009463,-0.989253,1.051141,0.955369,-1.177282
293,293,4.883333,-0.066248,-0.129892,-0.009581,-0.989266,1.051176,0.955348,-1.177279
