Frame,Time_Seconds,camera_Rotation_X,camera_Rotation_Y,camera_Rotation_Z,camera_Rotation_W,camera_Position_X,camera_Position_Y,camera_Position_Z
59,0.983333,0.073124,0.036407,-0.001399,-0.996657,0.021562,1.272789,0.145412
60,1.000000,0.075403,0.036673,-0.004820,-0.996467,0.021686,1.272547,0.145606
61,1.016667,0.074195,0.037000,-0.003873,-0.996550,0.021822,1.272593,0.145790
62,1.033333,0.074230,0.036867,-0.004125,-0.996551,0.021878,1.272604,0.145969
63,1.050000,0.072476,0.035685,-0.002002,-0.996730,0.021832,1.272701,0.146289
64,1.066667,0.072019,0.035277,-0.001588,-0.996778,0.021938,1.272664,0.146465
65,1.083333,0.072048,0.035381,-0.001742,-0.996772,0.021996,1.272660,0.146680
66,1.100000,0.072225,0.035353,-0.001106,-0.996761,0.021995,1.272629,0.146990
67,1.116667,0.072017,0.036771,-0.000488,-0.996725,0.022214,1.272542,0.147326
68,1.133333,0.071819,0.036125,-0.000721,-0.996763,0.022325,1.272513,0.147549
69,1.150000,0.072052,0.035719,-0.000893,-0.996761,0.022332,1.272501,0.147722
70,1.166667,0.075508,0.037775,-0.005207,-0.996416,0.022340,1.272223,0.148025
71,1.183333,0.074637,0.036349,-0.004281,-0.996539,0.022478,1.272118,0.148182
72,1.200000,0.074047,0.036427,-0.003755,-0.996582,0.022376,1.272082,0.148495
73,1.216667,0.072056,0.036865,-0.000899,-0.996719,0.022373,1.272185,0.148790
74,1.233333,0.071614,0.036649,-0.000413,-0.996759,0.022368,1.272155,0.149012
75,1.250000,0.071541,0.036599,-0.000603,-0.996766,0.022418,1.272102,0.149229
76,1.266667,0.071652,0.036475,-0.000632,-0.996762,0.022429,1.272100,0.149415
77,1.283333,0.071128,0.036278,-0.000688,-0.996807,0.022452,1.272041,0.149633
78,1.300000,0.070881,0.035685,-0.000843,-0.996846,0.022492,1.271995,0.149795
79,1.316667,0.070867,0.035669,-0.001165,-0.996847,0.022466,1.271973,0.149946
80,1.333333,0.070543,0.035897,-0.001164,-0.996862,0.022405,1.271889,0.150126
81,1.350000,0.070179,0.035824,-0.000804,-0.996891,0.022446,1.271823,0.150282
82,1.366667,0.069628,0.035906,-0.000123,-0.996927,0.022501,1.271789,0.150462
83,1.383333,0.069381,0.036162,-0.000300,-0.996935,0.022481,1.271698,0.150582
84,1.400000,0.069270,0.036214,-0.000185,-0.996940,0.022526,1.271592,0.150669
85,1.416667,0.070130,0.035327,-0.001663,-0.996911,0.022475,1.271507,0.150860
86,1.433333,0.069039,0.036691,-0.000996,-0.996939,0.022710,1.271417,0.150970
87,1.450000,0.068872,0.036828,-0.001366,-0.996945,0.022691,1.271338,0.151092
88,1.466667,0.068774,0.037926,-0.001202,-0.996910,0.022812,1.271255,0.151272
89,1.483333,0.068088,0.038449,-0.001872,-0.996936,0.022844,1.271160,0.151437
90,1.500000,0.068730,0.036356,-0.002118,-0.996970,0.022715,1.271084,0.151562
91,1.516667,0.069205,0.036820,-0.002487,-0.996920,0.022720,1.271079,0.151719
92,1.533333,0.068438,0.036296,-0.001967,-0.996993,0.022773,1.271002,0.151783
93,1.550000,0.068602,0.036238,-0.001798,-0.996984,0.022741,1.270964,0.151857
94,1.566667,0.068674,0.036200,-0.001543,-0.996981,0.022739,1.270890,0.151933
95,1.583333,0.068127,0.036927,-0.000876,-0.996993,0.022724,1.270708,0.151971
96,1.600000,0.067760,0.036510,-0.001200,-0.997033,0.022768,1.270615,0.152064
97,1.616667,0.067245,0.036163,-0.001218,-0.997080,0.022789,1.270424,0.152209
98,1.633333,0.066417,0.035441,-0.000643,-0.997162,0.022738,1.270312,0.152348
99,1.650000,0.069690,0.036153,-0.005415,-0.996899,0.022730,1.269943,0.152246
100,1.666667,0.069209,0.036392,-0.005351,-0.996924,0.022724,1.269838,0.152281
101,1.683333,0.069538,0.037400,-0.005645,-0.996862,0.022772,1.269734,0.152234
102,1.700000,0.069292,0.037307,-0.005631,-0.996883,0.022847,1.269681,0.152215
103,1.716667,0.068921,0.037492,-0.005302,-0.996903,0.022865,1.269613,0.152175
104,1.733333,0.067471,0.036388,-0.003341,-0.997052,0.022853,1.269720,0.152315
105,1.750000,0.067247,0.036357,-0.003469,-0.997068,0.022894,1.269665,0.152304
106,1.766667,0.066921,0.036517,-0.003618,-0.997083,0.023018,1.269616,0.152257
107,1.783333,0.067081,0.036185,-0.003667,-0.997084,0.023108,1.269586,0.152252
108,1.800000,0.067231,0.035457,-0.003558,-0.997101,0.023196,1.269548,0.152271
109,1.816667,0.066653,0.034740,-0.002964,-0.997167,0.023249,1.269510,0.152216
110,1.833333,0.067079,0.035191,-0.003668,-0.997120,0.023259,1.269566,0.152295
111,1.850000,0.067108,0.035209,-0.003462,-0.997118,0.023309,1.269547,0.152314
112,1.866667,0.066474,0.034358,-0.002401,-0.997194,0.023383,1.269492,0.152311
113,1.883333,0.068019,0.035109,-0.004481,-0.997056,0.023469,1.269351,0.152206
114,1.900000,0.066126,0.034278,-0.001994,-0.997220,0.023448,1.269454,0.152344
115,1.916667,0.066397,0.034327,-0.001902,-0.997201,0.023531,1.269420,0.152365
116,1.933333,0.066300,0.034274,-0.002000,-0.997209,0.023555,1.269422,0.152366
117,1.950000,0.066100,0.034296,-0.001944,-0.997222,0.023554,1.269402,0.152361
118,1.966667,0.066620,0.034120,-0.001752,-0.997193,0.023569,1.269396,0.152345
119,1.983333,0.066748,0.034182,-0.001982,-0.997182,0.023595,1.269406,0.152321
120,2.000000,0.068158,0.034934,-0.003878,-0.997055,0.023640,1.269303,0.152205
121,2.016667,0.066647,0.034186,-0.001885,-0.997189,0.023643,1.269432,0.152307
122,2.033333,0.066556,0.034222,-0.001591,-0.997194,0.023710,1.269412,0.152307
123,2.050000,0.066392,0.034621,-0.001284,-0.997192,0.023792,1.269410,0.152353
124,2.066667,0.066485,0.034168,-0.001129,-0.997202,0.023848,1.269423,0.152311
125,2.083333,0.066843,0.034817,-0.001176,-0.997155,0.023999,1.269383,0.152376
126,2.100000,0.066706,0.034978,-0.001400,-0.997158,0.024040,1.269379,0.152450
127,2.116667,0.066664,0.034614,-0.001540,-0.997174,0.024058,1.269357,0.152405
128,2.133333,0.067499,0.033890,-0.000431,-0.997144,0.024044,1.269239,0.152313
129,2.150000,0.067501,0.034127,-0.000255,-0.997135,0.024071,1.269233,0.152359
130,2.166667,0.067603,0.034243,-0.000495,-0.997124,0.024095,1.269251,0.152356
131,2.183333,0.067620,0.034087,-0.000422,-0.997129,0.024083,1.269248,0.152294
132,2.200000,0.067839,0.034097,-0.000489,-0.997113,0.024080,1.269238,0.152290
133,2.216667,0.067605,0.034361,-0.000587,-0.997120,0.024085,1.269232,0.152314
134,2.233333,0.067152,0.033982,-0.000376,-0.997164,0.023899,1.269272,0.152316
135,2.250000,0.067573,0.034341,-0.000591,-0.997123,0.024037,1.269249,0.152263
136,2.266667,0.067641,0.034795,-0.000597,-0.997103,0.024039,1.269253,0.152279
137,2.283333,0.067169,0.034358,-0.000440,-0.997150,0.023928,1.269259,0.152202
138,2.300000,0.067009,0.035410,-0.001748,-0.997122,0.024041,1.269340,0.152261
139,2.316667,0.067963,0.034910,-0.000727,-0.997077,0.024023,1.269249,0.152208
140,2.333333,0.066531,0.034730,-0.001383,-0.997179,0.023889,1.269372,0.152234
141,2.350000,0.066123,0.035658,-0.002217,-0.997172,0.023957,1.269420,0.152253
142,2.366667,0.066652,0.034799,-0.001115,-0.997169,0.023902,1.269377,0.152263
143,2.383333,0.066410,0.034848,-0.000982,-0.997183,0.023946,1.269349,0.152257
144,2.400000,0.066395,0.036422,-0.002092,-0.997126,0.024138,1.269396,0.152339
145,2.416667,0.066073,0.035321,-0.001708,-0.997188,0.023991,1.269418,0.152298
146,2.433333,0.066314,0.036322,-0.001783,-0.997136,0.024114,1.269374,0.152428
147,2.450000,0.066706,0.035611,-0.001210,-0.997136,0.024094,1.269308,0.152369
148,2.466667,0.067861,0.037512,-0.003716,-0.996982,0.024172,1.269194,0.152351
149,2.483333,0.066506,0.035780,-0.001109,-0.997144,0.024082,1.269222,0.152326
150,2.500000,0.065718,0.036629,-0.001926,-0.997164,0.024052,1.269268,0.152370
151,2.516667,0.066057,0.036129,-0.001877,-0.997160,0.024005,1.269274,0.152407
152,2.533333,0.066584,0.036010,-0.001330,-0.997130,0.023957,1.269181,0.152407
153,2.550000,0.068181,0.035471,-0.000580,-0.997042,0.023994,1.269117,0.152463
154,2.566667,0.066434,0.035991,-0.001429,-0.997141,0.023884,1.269177,0.152525
155,2.583333,0.066737,0.036174,-0.001364,-0.997114,0.023795,1.269202,0.152605
156,2.600000,0.067439,0.037793,-0.001894,-0.997006,0.023643,1.269246,0.152871
157,2.616667,0.067225,0.037229,-0.001348,-0.997042,0.023559,1.269214,0.152862
158,2.633333,0.067827,0.037182,-0.002098,-0.997002,0.023304,1.269292,0.153004
159,2.650000,0.068143,0.037986,-0.001935,-0.996950,0.023040,1.269319,0.153119
160,2.666667,0.067575,0.037324,-0.001241,-0.997015,0.022797,1.269362,0.153414
161,2.683333,0.066720,0.037936,-0.001835,-0.997049,0.022613,1.269480,0.153678
162,2.700000,0.066800,0.038081,-0.001633,-0.997038,0.022419,1.269505,0.153936
163,2.716667,0.066349,0.039220,-0.001082,-0.997025,0.022310,1.269547,0.154158
164,2.733333,0.067447,0.038826,0.000132,-0.996967,0.022174,1.269528,0.154415
165,2.750000,0.068081,0.037953,-0.001186,-0.996957,0.021898,1.269655,0.154942
166,2.766667,0.068459,0.037852,-0.000583,-0.996935,0.021741,1.269635,0.155196
167,2.783333,0.067420,0.037814,0.001912,-0.997006,0.021674,1.269509,0.155277
168,2.800000,0.066952,0.037807,0.001857,-0.997038,0.021392,1.269477,0.155557
169,2.816667,0.066766,0.037604,0.001789,-0.997058,0.021187,1.269434,0.155751
170,2.833333,0.066831,0.035749,0.001120,-0.997123,0.020919,1.269388,0.156140
171,2.850000,0.065936,0.035865,0.001270,-0.997178,0.020504,1.269290,0.156447
172,2.866667,0.065671,0.034973,0.000962,-0.997228,0.020263,1.269198,0.156747
173,2.883333,0.065418,0.035498,-0.000342,-0.997226,0.020054,1.269106,0.157198
174,2.900000,0.064880,0.035040,0.000471,-0.997278,0.020017,1.268919,0.157496
175,2.916667,0.065206,0.034178,-0.002129,-0.997284,0.019587,1.268725,0.157777
176,2.933333,0.064577,0.035265,-0.003035,-0.997285,0.019518,1.268711,0.157969
177,2.950000,0.065171,0.033764,-0.001851,-0.997301,0.019500,1.268671,0.158233
178,2.966667,0.065431,0.033099,-0.001979,-0.997306,0.019540,1.268633,0.158447
179,2.983333,0.065095,0.032400,-0.002635,-0.997350,0.019635,1.268548,0.158701
180,3.000000,0.065229,0.032235,-0.001721,-0.997348,0.019830,1.268479,0.159212
181,3.016667,0.066000,0.030033,-0.002542,-0.997364,0.020031,1.268335,0.159712
182,3.033333,0.064740,0.026582,0.000231,-0.997548,0.020327,1.268204,0.160092
183,3.050000,0.064233,0.024717,0.001000,-0.997628,0.020628,1.268101,0.160602
184,3.066667,0.063934,0.022259,0.001442,-0.997705,0.021053,1.268054,0.161092
185,3.083333,0.063503,0.018815,0.001345,-0.997803,0.021624,1.268001,0.161562
186,3.100000,0.063427,0.017562,0.000645,-0.997832,0.022330,1.267899,0.161918
187,3.116667,0.063299,0.012201,0.001336,-0.997919,0.023063,1.267787,0.162477
188,3.133333,0.062885,0.010143,0.001226,-0.997968,0.023968,1.267738,0.163053
189,3.150000,0.063173,0.007174,0.001476,-0.997976,0.025153,1.267706,0.163390
190,3.166667,0.063275,0.002734,0.002108,-0.997990,0.026299,1.267709,0.163828
191,3.183333,0.063155,-0.004881,0.002741,-0.997988,0.027173,1.267829,0.164537
192,3.200000,0.063221,-0.009174,0.000018,-0.997958,0.028629,1.267951,0.165032
193,3.216667,0.061517,-0.016077,0.007031,-0.997952,0.030330,1.268125,0.165512
194,3.233333,0.059890,-0.020109,0.006044,-0.997984,0.032146,1.268254,0.165952
195,3.250000,0.062439,-0.027593,0.006905,-0.997643,0.034088,1.268237,0.166336
196,3.266667,0.060723,-0.031224,0.007220,-0.997640,0.036041,1.268142,0.166612
197,3.283333,0.064517,-0.040025,0.006575,-0.997092,0.038403,1.268247,0.167078
198,3.300000,0.064749,-0.044959,0.008674,-0.996851,0.041018,1.268229,0.167472
199,3.316667,0.064031,-0.050690,0.003825,-0.996652,0.043700,1.267733,0.167669
200,3.333333,0.062987,-0.057332,0.005867,-0.996349,0.046960,1.267897,0.168242
201,3.350000,0.064828,-0.063261,0.001652,-0.995888,0.049981,1.267548,0.168876
202,3.366667,0.063486,-0.070996,0.003781,-0.995447,0.053408,1.267380,0.169334
203,3.383333,0.064905,-0.077981,0.002080,-0.994838,0.057156,1.267118,0.169827
204,3.400000,0.063580,-0.084900,0.003108,-0.994354,0.061112,1.266888,0.170200
205,3.416667,0.065303,-0.090377,0.001808,-0.993763,0.065060,1.266696,0.170840
206,3.433333,0.064847,-0.096708,0.002746,-0.993194,0.069226,1.266528,0.171261
207,3.450000,0.069840,-0.096416,-0.008032,-0.992855,0.073858,1.265706,0.171232
208,3.466667,0.064903,-0.108799,0.003309,-0.991937,0.078201,1.266227,0.172154
209,3.483333,0.055631,-0.109735,-0.005396,-0.992388,0.082899,1.266216,0.172686
210,3.500000,0.062860,-0.118833,-0.000771,-0.990922,0.087457,1.265423,0.172909
211,3.516667,0.065015,-0.129661,0.000826,-0.989424,0.092794,1.265300,0.173558
212,3.533333,0.060523,-0.136933,-0.004656,-0.988719,0.097836,1.264925,0.173902
213,3.550000,0.060847,-0.139277,-0.002549,-0.988379,0.102872,1.264485,0.174269
214,3.566667,0.058875,-0.144880,-0.004244,-0.987687,0.108041,1.264485,0.174893
215,3.583333,0.062485,-0.152178,-0.004581,-0.986365,0.113601,1.264071,0.175298
216,3.600000,0.063219,-0.158325,-0.004279,-0.985352,0.119323,1.263996,0.175915
217,3.616667,0.055542,-0.168354,0.020570,-0.983946,0.124206,1.262593,0.175737
218,3.633333,0.066137,-0.172833,-0.007443,-0.982700,0.130642,1.264010,0.177058
219,3.650000,0.065153,-0.179790,-0.006919,-0.981521,0.136809,1.263962,0.177425
220,3.666667,0.065140,-0.187636,-0.006687,-0.980054,0.142891,1.264185,0.177954
221,3.683333,0.063490,-0.195537,-0.007773,-0.978608,0.149363,1.264194,0.178046
222,3.700000,0.064065,-0.201460,-0.006967,-0.977375,0.155482,1.264748,0.178032
223,3.716667,0.064753,-0.209319,-0.008853,-0.975661,0.161732,1.265081,0.177825
224,3.733333,0.065942,-0.206532,-0.012163,-0.976140,0.168444,1.265558,0.176669
225,3.750000,0.066723,-0.223471,-0.010305,-0.972369,0.174354,1.266099,0.177145
226,3.766667,0.069962,-0.229970,-0.012650,-0.970597,0.180462,1.266230,0.176528
227,3.783333,0.072983,-0.237053,-0.017625,-0.968591,0.186667,1.266072,0.175841
228,3.800000,0.072366,-0.243906,-0.021839,-0.966848,0.192939,1.266309,0.175338
229,3.816667,0.075669,-0.250124,-0.021340,-0.965016,0.198633,1.266224,0.174562
230,3.833333,0.075345,-0.258959,-0.021500,-0.962705,0.204686,1.266287,0.173966
231,3.850000,0.076961,-0.265615,-0.020940,-0.960774,0.210518,1.266281,0.173311
232,3.866667,0.076083,-0.272217,-0.021068,-0.958992,0.216152,1.266283,0.172501
233,3.883333,0.075583,-0.278308,-0.020273,-0.957299,0.221954,1.266283,0.171601
234,3.900000,0.074424,-0.284473,-0.021273,-0.955554,0.227391,1.266360,0.170576
235,3.916667,0.073459,-0.290921,-0.021112,-0.953689,0.232644,1.266562,0.169537
236,3.933333,0.073882,-0.296808,-0.022222,-0.951815,0.237823,1.266724,0.168348
237,3.950000,0.075051,-0.304064,-0.023503,-0.949400,0.242812,1.266906,0.166998
238,3.966667,0.075433,-0.309935,-0.024646,-0.947440,0.247883,1.267113,0.165708
239,3.983333,0.074409,-0.316762,-0.021999,-0.945326,0.253217,1.267127,0.164280
240,4.000000,0.073369,-0.325014,-0.024626,-0.942537,0.258018,1.267252,0.162837
241,4.016667,0.073035,-0.331223,-0.025397,-0.940379,0.263101,1.267502,0.161562
242,4.033333,0.072141,-0.338678,-0.023371,-0.937842,0.267996,1.267920,0.160086
243,4.050000,0.072258,-0.347071,-0.024310,-0.934735,0.272913,1.268007,0.158651
244,4.066667,0.072004,-0.353950,-0.023983,-0.932180,0.277977,1.268177,0.156920
245,4.083333,0.072100,-0.361828,-0.024387,-0.929133,0.282703,1.268499,0.155461
246,4.100000,0.073186,-0.369771,-0.023764,-0.925931,0.287568,1.268778,0.153960
247,4.116667,0.073715,-0.379488,-0.026830,-0.921865,0.292283,1.269059,0.152466
248,4.133333,0.072784,-0.386031,-0.024739,-0.919277,0.297186,1.269518,0.151085
249,4.150000,0.069235,-0.395631,-0.025771,-0.915434,0.301966,1.269496,0.149558
250,4.166667,0.072373,-0.401886,-0.028801,-0.912371,0.306548,1.269506,0.148122
251,4.183333,0.072101,-0.410865,-0.028172,-0.908404,0.310999,1.269700,0.146852
252,4.200000,0.067501,-0.417174,-0.025850,-0.905947,0.315826,1.270002,0.145492
253,4.216667,0.068180,-0.425575,-0.024103,-0.902029,0.320360,1.269827,0.144476
254,4.233333,0.068102,-0.432649,-0.021464,-0.898731,0.324862,1.269809,0.143097
255,4.250000,0.066926,-0.441210,-0.023555,-0.894595,0.329321,1.269748,0.142235
256,4.266667,0.065402,-0.449181,-0.023177,-0.890742,0.333346,1.269419,0.141383
257,4.283333,0.064886,-0.458431,-0.023428,-0.886049,0.337601,1.268979,0.140535
258,4.300000,0.064380,-0.467786,-0.024239,-0.881161,0.341934,1.268553,0.139816
259,4.316667,0.064558,-0.476853,-0.024439,-0.876268,0.346097,1.267934,0.139136
260,4.333333,0.066845,-0.490996,-0.032849,-0.867972,0.350012,1.266899,0.139292
261,4.350000,0.065500,-0.501135,-0.031318,-0.862319,0.353908,1.266318,0.138877
262,4.366667,0.064009,-0.511541,-0.031958,-0.856275,0.357869,1.265705,0.138602
263,4.383333,0.063636,-0.522204,-0.032321,-0.849829,0.361793,1.265173,0.138234
264,4.400000,0.061796,-0.529685,-0.027698,-0.845487,0.366013,1.264853,0.137708
265,4.416667,0.056302,-0.549803,-0.015379,-0.833253,0.370482,1.265481,0.138158
266,4.433333,0.056797,-0.551730,-0.028672,-0.831593,0.374008,1.264208,0.136636
267,4.450000,0.050463,-0.568326,-0.014333,-0.821129,0.378411,1.264991,0.136610
268,4.466667,0.047230,-0.581187,-0.017186,-0.812216,0.381701,1.265431,0.135544
269,4.483333,0.046876,-0.591404,-0.015769,-0.804857,0.384771,1.265843,0.134113
270,4.500000,0.044264,-0.604610,-0.008417,-0.795247,0.387852,1.266892,0.132815
271,4.516667,0.046548,-0.615151,-0.017180,-0.786847,0.390402,1.267359,0.131001
272,4.533333,0.055499,-0.618816,-0.036635,-0.782716,0.392509,1.265922,0.127970
273,4.550000,0.055718,-0.630442,-0.039427,-0.773229,0.395106,1.266005,0.125840
274,4.566667,0.047865,-0.645880,-0.035006,-0.761132,0.397705,1.267071,0.124362
275,4.583333,0.046163,-0.656510,-0.042708,-0.751691,0.400236,1.267152,0.121868
276,4.600000,0.050559,-0.667448,-0.042991,-0.741693,0.401928,1.266998,0.119277
277,4.616667,0.049838,-0.678590,-0.046954,-0.731319,0.403917,1.267553,0.116689
278,4.633333,0.052101,-0.690172,-0.042301,-0.720526,0.405411,1.267497,0.113670
279,4.650000,0.052077,-0.700458,-0.042560,-0.710518,0.406767,1.267760,0.110850
280,4.666667,0.047967,-0.711511,-0.045230,-0.699576,0.407852,1.268420,0.107735
281,4.683333,0.050991,-0.720216,-0.044834,-0.690419,0.408903,1.268184,0.104348
282,4.700000,0.052010,-0.730536,-0.041476,-0.679626,0.409320,1.268549,0.100877
283,4.716667,0.047461,-0.738795,-0.046701,-0.670632,0.409906,1.268756,0.097399
284,4.733333,0.048504,-0.746885,-0.048408,-0.661413,0.410200,1.269092,0.093659
285,4.750000,0.048834,-0.755041,-0.051723,-0.651808,0.410039,1.269465,0.089435
286,4.766667,0.049586,-0.763268,-0.049421,-0.642278,0.409586,1.269747,0.085542
287,4.783333,0.047115,-0.771023,-0.047957,-0.633249,0.409018,1.270192,0.081400
288,4.800000,0.045733,-0.777592,-0.051860,-0.624956,0.408397,1.270707,0.076875
289,4.816667,0.045137,-0.787124,-0.050599,-0.613056,0.407192,1.271337,0.072387
290,4.833333,0.046581,-0.792022,-0.054708,-0.606249,0.405982,1.271845,0.067648
291,4.850000,0.046602,-0.797465,-0.055018,-0.599042,0.404660,1.272590,0.062660
292,4.866667,0.045838,-0.805210,-0.055583,-0.588596,0.403017,1.273040,0.057402
293,4.883333,0.047907,-0.810785,-0.055070,-0.580775,0.401146,1.273616,0.052288
294,4.900000,0.045155,-0.816121,-0.057742,-0.573214,0.399121,1.274223,0.047051
295,4.916667,0.044359,-0.822838,-0.058912,-0.563471,0.397006,1.274911,0.041803
296,4.933333,0.043974,-0.827488,-0.059125,-0.556627,0.394661,1.275377,0.036279
297,4.950000,0.044526,-0.832674,-0.061714,-0.548509,0.392008,1.275885,0.030633
298,4.966667,0.045354,-0.838870,-0.063156,-0.538750,0.389263,1.276198,0.024749
299,4.983333,0.047816,-0.843513,-0.063986,-0.531136,0.386393,1.276485,0.018565
300,5.000000,0.047192,-0.848857,-0.065215,-0.522457,0.383560,1.276682,0.012439
301,5.016667,0.043686,-0.854383,-0.068759,-0.513218,0.380453,1.276681,0.006278
302,5.033333,0.042735,-0.858856,-0.066802,-0.506042,0.377050,1.277073,-0.000612
303,5.050000,0.039490,-0.864776,-0.073750,-0.495141,0.373510,1.276836,-0.006948
304,5.066667,0.039085,-0.869636,-0.074741,-0.486435,0.369847,1.276966,-0.013735
305,5.083333,0.038826,-0.874407,-0.077846,-0.477332,0.365694,1.276925,-0.020990
306,5.100000,0.035387,-0.879992,-0.074957,-0.467700,0.361348,1.277420,-0.028190
307,5.116667,0.029650,-0.885507,-0.072872,-0.457918,0.357109,1.277817,-0.035226
308,5.133333,0.034915,-0.889172,-0.073207,-0.450328,0.351915,1.278055,-0.042499
309,5.150000,0.035521,-0.893098,-0.078219,-0.441583,0.346659,1.278533,-0.049488
310,5.166667,0.036928,-0.897688,-0.082286,-0.431302,0.341434,1.278870,-0.056387
311,5.183333,0.036473,-0.902096,-0.085195,-0.421467,0.336220,1.279094,-0.062982
